vehicle_id,plate,journey_size,total_distance,total_moving,total_idle,counts,day
155905,AAA0009,69,57.566,15810,1961,7,2021-10-11 11:05:55.105787
150653,AAA0007,155,98.567,6763,0,1,2021-10-11 11:05:55.105787
155905,AAA0009,98,77.152,8582,360,2,2021-10-11 11:05:55.105787
72880,AAA0006,26,748.4300000000001,62279,25154,82,2021-10-11 11:05:55.105787
72880,AAA0006,28,221.269,40194,17156,55,2021-10-11 11:05:55.105787
72880,AAA0006,43,39.14,4108,1356,4,2021-10-11 11:05:55.105787
72880,AAA0006,35,171.615,22072,9824,32,2021-10-11 11:05:55.105787
164573,AAA0008,150,112.86699999999999,18293,479,3,2021-10-11 11:05:55.105787
164573,AAA0008,190,51.308,9637,240,1,2021-10-11 11:05:55.105787
72880,AAA0006,12,41.273,15323,13930,60,2021-10-11 11:05:55.105787
150653,AAA0007,30,133.265,13074,240,13,2021-10-11 11:05:55.105787
72880,AAA0006,48,147.977,18604,10279,21,2021-10-11 11:05:55.105787
72880,AAA0006,45,6.907,904,302,1,2021-10-11 11:05:55.105787
72880,AAA0006,40,906.39,87374,16496,84,2021-10-11 11:05:55.105787
155905,AAA0009,2,0.049999999999999996,15,0,4,2021-10-11 11:05:55.105787
164573,AAA0008,127,143.198,17332,122,3,2021-10-11 11:05:55.105787
164573,AAA0008,70,128.036,19000,119,7,2021-10-11 11:05:55.105787
150653,AAA0007,76,200.695,12666,309,4,2021-10-11 11:05:55.105787
164573,AAA0008,464,108.18,15849,374,1,2021-10-11 11:05:55.105787
150653,AAA0007,52,329.691,18092,0,6,2021-10-11 11:05:55.105787
155905,AAA0009,83,14.021,4278,719,2,2021-10-11 11:05:55.105787
164573,AAA0008,59,99.884,15992,119,7,2021-10-11 11:05:55.105787
150653,AAA0007,114,212.897,10979,119,2,2021-10-11 11:05:55.105787
155905,AAA0009,74,65.15899999999999,21489,2639,10,2021-10-11 11:05:55.105787
155905,AAA0009,66,16.3,4859,598,3,2021-10-11 11:05:55.105787
150653,AAA0007,67,284.828,15607,0,4,2021-10-11 11:05:55.105787
150653,AAA0007,62,680.805,31715,0,10,2021-10-11 11:05:55.105787
164573,AAA0008,94,80.973,15034,239,4,2021-10-11 11:05:55.105787
164573,AAA0008,92,100.066,14265,120,4,2021-10-11 11:05:55.105787
164573,AAA0008,161,42.003,6682,359,1,2021-10-11 11:05:55.105787
164573,AAA0008,160,40.619,6587,120,1,2021-10-11 11:05:55.105787
164573,AAA0008,107,66.084,12086,481,3,2021-10-11 11:05:55.105787
150653,AAA0007,118,65.184,4959,305,1,2021-10-11 11:05:55.105787
155905,AAA0009,114,19.639000000000003,7775,359,2,2021-10-11 11:05:55.105787
150653,AAA0007,81,357.96299999999997,18853,0,5,2021-10-11 11:05:55.105787
72880,AAA0006,55,39.183,5574,558,3,2021-10-11 11:05:55.105787
155905,AAA0009,82,15.975999999999999,6223,494,2,2021-10-11 11:05:55.105787
164573,AAA0008,142,94.25800000000001,11528,367,2,2021-10-11 11:05:55.105787
150653,AAA0007,106,261.59799999999996,12716,0,2,2021-10-11 11:05:55.105787
164573,AAA0008,69,86.489,14742,120,6,2021-10-11 11:05:55.105787
150653,AAA0007,126,132.89,6835,0,1,2021-10-11 11:05:55.105787
164573,AAA0008,74,85.673,6900,0,2,2021-10-11 11:05:55.105787
155905,AAA0009,61,11.714,4083,420,2,2021-10-11 11:05:55.105787
164573,AAA0008,120,112.958,11291,122,2,2021-10-11 11:05:55.105787
150653,AAA0007,145,135.873,7166,0,1,2021-10-11 11:05:55.105787
155905,AAA0009,64,33.005,7404,238,4,2021-10-11 11:05:55.105787
164573,AAA0008,164,43.851,5686,0,1,2021-10-11 11:05:55.105787
5603,AAA0003,99,264.581,17976,612,4,2021-10-11 11:05:55.105787
5596,AAA0004,121,126.472,6975,0,1,2021-10-11 11:05:55.105787
5603,AAA0003,105,74.866,5046,374,2,2021-10-11 11:05:55.105787
5603,AAA0003,169,125.826,10752,372,2,2021-10-11 11:05:55.105787
5596,AAA0004,156,238.39,12063,0,1,2021-10-11 11:05:55.105787
5603,AAA0003,412,158.954,10700,208,1,2021-10-11 11:05:55.105787
5596,AAA0004,60,187.30399999999997,10876,0,3,2021-10-11 11:05:55.105787
5603,AAA0003,81,89.32,8846,618,3,2021-10-11 11:05:55.105787
5596,AAA0004,109,208.692,11639,0,2,2021-10-11 11:05:55.105787
5603,AAA0003,121,120.144,9266,684,2,2021-10-11 11:05:55.105787
5603,AAA0003,103,35.085,2328,193,1,2021-10-11 11:05:55.105787
5596,AAA0004,124,349.645,18151,0,2,2021-10-11 11:05:55.105787
5603,AAA0003,148,152.304,10472,448,2,2021-10-11 11:05:55.105787
167,AAA0001,64,95.691,10364,0,3,2021-10-11 11:05:55.105787
5596,AAA0004,190,230.302,12451,0,1,2021-10-11 11:05:55.105787
5603,AAA0003,87,94.652,6691,280,2,2021-10-11 11:05:55.105787
5596,AAA0004,98,199.074,12100,0,2,2021-10-11 11:05:55.105787
5603,AAA0003,138,53.527,4692,342,1,2021-10-11 11:05:55.105787
167,AAA0001,60,62.78699999999999,4680,3,2,2021-10-11 11:05:55.105787
5603,AAA0003,209,75.187,6187,0,1,2021-10-11 11:05:55.105787
5603,AAA0003,53,106.614,7667,0,2,2021-10-11 11:05:55.105787
5603,AAA0003,82,22.803,2173,306,1,2021-10-11 11:05:55.105787
5603,AAA0003,80,74.132,5491,120,2,2021-10-11 11:05:55.105787
5596,AAA0004,99,118.897,6407,0,1,2021-10-11 11:05:55.105787
5596,AAA0004,111,359.474,22094,0,4,2021-10-11 11:05:55.105787
5603,AAA0003,177,83.155,5658,0,1,2021-10-11 11:05:55.105787
5603,AAA0003,112,97.869,6104,0,1,2021-10-11 11:05:55.105787
5603,AAA0003,111,50.122,4257,247,1,2021-10-11 11:05:55.105787
5596,AAA0004,167,238.486,12772,0,1,2021-10-11 11:05:55.105787
5596,AAA0004,134,152.333,9100,0,1,2021-10-11 11:05:55.105787
5603,AAA0003,126,145.97,9107,491,2,2021-10-11 11:05:55.105787
5596,AAA0004,147,345.101,18801,0,2,2021-10-11 11:05:55.105787
5603,AAA0003,95,114.17399999999999,8686,185,2,2021-10-11 11:05:55.105787
5603,AAA0003,185,66.276,5242,212,1,2021-10-11 11:05:55.105787
5596,AAA0004,128,309.275,17135,0,2,2021-10-11 11:05:55.105787
5596,AAA0004,95,292.004,16952,0,3,2021-10-11 11:05:55.105787
167,AAA0001,72,44.894,3586,0,1,2021-10-11 11:05:55.105787
5603,AAA0003,70,31.106,2145,0,1,2021-10-11 11:05:55.105787
5603,AAA0003,236,111.99,9399,313,1,2021-10-11 11:05:55.105787
5603,AAA0003,90,86.834,6367,300,2,2021-10-11 11:05:55.105787
150653,AAA0007,101,333.908,15875,0,3,2021-10-11 11:05:55.105787
164573,AAA0008,130,71.217,9929,120,2,2021-10-11 11:05:55.105787
5596,AAA0004,203,201.211,13025,120,1,2021-10-11 11:05:55.105787
5596,AAA0004,52,178.257,14608,0,4,2021-10-11 11:05:55.105787
5603,AAA0003,170,104.492,7606,378,2,2021-10-11 11:05:55.105787
5603,AAA0003,250,144.412,11964,480,2,2021-10-11 11:05:55.105787
5596,AAA0004,191,844.1800000000001,42134,0,3,2021-10-11 11:05:55.105787
5603,AAA0003,68,96.414,7040,458,3,2021-10-11 11:05:55.105787
5603,AAA0003,128,47.621,3504,331,1,2021-10-11 11:05:55.105787
5596,AAA0004,142,160.965,8978,0,1,2021-10-11 11:05:55.105787
5603,AAA0003,287,83.45,7938,364,1,2021-10-11 11:05:55.105787
5603,AAA0003,283,81.962,7776,244,1,2021-10-11 11:05:55.105787
175,AAA0002,84,40.216,5332,0,1,2021-10-11 11:05:55.105787
175,AAA0002,70,37.595,2972,0,1,2021-10-11 11:05:55.105787
5596,AAA0004,84,164.753,10553,0,2,2021-10-11 11:05:55.105787
5596,AAA0004,46,64.71,5262,0,2,2021-10-11 11:05:55.105787
5596,AAA0004,129,181.504,9201,0,1,2021-10-11 11:05:55.105787
5603,AAA0003,93,75.938,7736,452,2,2021-10-11 11:05:55.105787
5603,AAA0003,71,34.834,6530,240,2,2021-10-11 11:05:55.105787
